Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homage,,,,2023-06-06 23:07:01,2023-06-06 23:07:08,6.413s,FAILED
,,,,,,,
Test Cases/Homage/Open Homage,,,,2023-06-06 23:07:03,2023-06-06 23:07:03,0.206s,FAILED
"openBrowser(""https://www.homage.sg/"")",,,,2023-06-06 23:07:03,2023-06-06 23:07:03,0.195s,FAILED
,,,,,,,
Test Cases/Homage/Home Pag,,,,2023-06-06 23:07:04,2023-06-06 23:07:05,0.248s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 23:07:04,2023-06-06 23:07:05,0.239s,FAILED
,,,,,,,
Test Cases/Homage/Download Homage Page,,,,2023-06-06 23:07:06,2023-06-06 23:07:06,0.248s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 23:07:06,2023-06-06 23:07:06,0.240s,FAILED
,,,,,,,
Test Cases/Homage/Download Butto Check,,,,2023-06-06 23:07:07,2023-06-06 23:07:08,0.250s,FAILED
"callTestCase(findTestCase(""Homage/Open Homage""), [:], STOP_ON_FAILURE)",,,,2023-06-06 23:07:07,2023-06-06 23:07:08,0.239s,FAILED
