Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Check View All Pages,Chrome 114.0.0.0,,,2023-06-10 00:37:59,2023-06-10 00:39:43,1m - 44.404s,FAILED
,,,,,,,
Test Cases/DANA/Check View All Events,Chrome 114.0.0.0,,,2023-06-10 00:37:59,2023-06-10 00:38:17,17.470s,PASSED
"callTestCase(findTestCase(""DANA/Check View All News""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-10 00:37:59,2023-06-10 00:38:12,12.892s,PASSED
"click(findTestObject(""TrialObject/Page_Top up voucher game  DANA - Digital Items Games and digital Vouchers/div_VIEW ALL""))",Chrome 114.0.0.0,,,2023-06-10 00:38:12,2023-06-10 00:38:13,0.297s,PASSED
"verifyElementPresent(findTestObject(""Game Check/body_All Events""), 0)",Chrome 114.0.0.0,,,2023-06-10 00:38:13,2023-06-10 00:38:13,0.588s,PASSED
"takeFullPageScreenshotAsCheckpoint(""View all event visual"")",Chrome 114.0.0.0,,,2023-06-10 00:38:13,2023-06-10 00:38:17,3.512s,PASSED
,,,,,,,
Test Cases/DANA/Check View All Game Item,Chrome 114.0.0.0,,,2023-06-10 00:38:17,2023-06-10 00:38:56,39.094s,FAILED
"openBrowser(""https://m.dana.id/i/biller-app/game/home"")",Chrome 114.0.0.0,,,2023-06-10 00:38:17,2023-06-10 00:38:20,2.918s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/button_CANCEL""), 0) == true)",Chrome 114.0.0.0,,,2023-06-10 00:38:20,2023-06-10 00:38:56,36.094s,PASSED
,,,,,,,
Test Cases/DANA/Check View All News,Chrome 114.0.0.0,,,2023-06-10 00:38:56,2023-06-10 00:39:05,8.890s,PASSED
"openBrowser(""https://m.dana.id/i/biller-app/game/home"")",Chrome 114.0.0.0,,,2023-06-10 00:38:56,2023-06-10 00:38:59,2.795s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/button_CANCEL""), 0) == true)",Chrome 114.0.0.0,,,2023-06-10 00:38:59,2023-06-10 00:39:05,6.087s,PASSED
,,,,,,,
Test Cases/DANA/Check View All Voucher Item,Chrome 114.0.0.0,,,2023-06-10 00:39:05,2023-06-10 00:39:43,38.755s,FAILED
"openBrowser(""https://m.dana.id/i/biller-app/game/home"")",Chrome 114.0.0.0,,,2023-06-10 00:39:05,2023-06-10 00:39:07,2.671s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/button_CANCEL""), 0) == true)",Chrome 114.0.0.0,,,2023-06-10 00:39:07,2023-06-10 00:39:43,35.992s,PASSED
